"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,          63,       -13.0433686,      -10.85639573,      -10.90064101,      -10.88949754,      -7.584134136
          0,           0,          64,      -13.13231687,      -10.92555858,       -11.0115183,      -10.96836962,      -7.673527471
          0,           0,          65,       -13.2043153,      -11.01491959,      -11.06116333,      -11.03162287,      -7.747509067
          0,           0,          66,      -13.28120986,      -11.10924179,      -11.07297824,      -11.09565304,      -7.824226148
          0,           0,          67,      -13.33705198,        -11.165733,      -11.07119259,      -11.15261214,      -7.880504521
          0,           0,          68,      -13.42504505,      -11.21662136,      -11.18843916,      -11.24243758,      -7.966570834
          0,           0,          69,      -13.47677916,      -11.26382892,      -11.17766586,      -11.27781408,       -8.02198755
          0,           0,          70,      -13.57499058,      -11.40354284,      -11.26905495,      -11.38577748,      -8.120255419
          0,           0,          71,      -13.65056108,      -11.45792633,      -11.41612154,      -11.48798328,      -8.195299986
          0,           0,          72,      -13.68061922,      -11.48955045,      -11.28209833,       -11.4822377,      -8.220182676
          0,           0,          73,      -13.66026881,      -11.47900566,       -11.4676677,      -11.52974649,      -8.208634634
          0,           0,          74,      -13.67120237,      -11.44618965,      -11.27586541,      -11.56878859,      -8.224139312
          0,           0,          75,      -13.77614344,      -11.52461386,      -11.34134986,      -11.55436665,      -8.338844647
          0,           0,          76,      -13.66983346,      -11.42949985,      -11.18228535,      -11.39863456,      -8.224628314
          0,           0,          77,      -13.73608665,      -11.32892296,       -11.4157493,      -11.45984037,      -8.279629638
          0,           0,          78,      -13.81169705,      -11.52424382,      -11.54553661,      -11.62992252,      -8.360805465
          0,           0,          79,      -13.87808351,      -11.60394349,      -11.65785945,      -11.78252683,      -8.452119686
          0,           0,          80,      -13.86481071,      -11.49752592,      -11.60141447,      -11.63920184,       -8.46862462
          0,           0,          81,      -13.64332594,      -11.44885066,      -11.21282674,      -11.39125783,      -8.195326768
          0,           0,          82,      -13.61934452,      -11.29616646,      -11.21404027,      -11.46793428,      -8.170956672
          0,           0,          83,      -13.64139973,      -11.37996514,      -11.11124004,      -11.39103094,      -8.192683427
          0,           0,          84,      -13.57457202,      -11.40371892,      -11.11292178,      -11.43909876,      -8.112353799
          0,           0,          85,      -13.72770081,      -11.47037177,      -11.50577642,      -11.70599958,      -8.278595485
          0,           0,          86,      -13.68938692,      -11.61692086,      -11.15241469,      -11.40937807,      -8.238632296
          0,           0,          87,      -13.60148727,       -11.4410531,      -11.22649587,       -11.4075921,      -8.146221049
          0,           0,          88,      -13.59305327,      -11.40915952,      -11.17601398,      -11.35736815,      -8.138510355
          0,           0,          89,      -13.65334425,      -11.42009203,      -11.28399462,      -11.46733821,      -8.195284669
          0,           0,          90,      -13.75822216,      -11.48565013,      -11.48788731,      -11.57152539,      -8.313823781
          0,           0,          91,      -13.70716042,      -11.59025888,      -11.24087574,      -11.46516624,      -8.252563203
          0,           0,          92,      -13.86064153,      -11.52777183,      -11.64318284,       -11.5984379,         -8.410102
          0,           0,          93,      -13.96396956,      -11.63244413,      -11.60013491,      -11.71429351,      -8.525699014
          0,           0,          94,      -13.82524679,       -11.6330649,       -11.3520179,      -11.57975943,      -8.392239796
          0,           0,          95,      -13.85454836,      -11.43393399,      -11.44026558,      -11.58792085,      -8.405999772
          0,           0,          96,      -13.79852768,      -11.67255073,      -11.34605399,      -11.60333789,      -8.346859767
          0,           0,          97,      -13.88246451,      -11.55658715,      -11.44504261,      -11.66040163,      -8.449216544
          0,           0,          98,      -13.73894516,      -11.48595174,      -11.25383777,      -11.49297538,      -8.291875732
          0,           0,          99,      -13.85624105,      -11.60221099,      -11.37812428,      -11.61541373,      -8.413034614
          0,           0,         100,       -13.9368191,      -11.55263054,       -11.6296993,      -11.69728308,      -8.510435094
          0,           0,         101,      -13.72226381,      -11.52710114,      -11.29441446,      -11.62751149,       -8.26578101
          0,           0,         102,      -13.95385979,      -11.59238177,      -11.59637145,      -11.62329796,      -8.522134085
          0,           0,         103,      -13.89465934,       -11.6988363,      -11.52579572,      -11.66678408,      -8.469716993
          0,           0,         104,      -13.82309848,      -11.60672532,      -11.52395982,      -11.52976406,      -8.391183765
          0,           0,         105,      -13.82128026,      -11.65899132,      -11.38853673,      -11.50108515,      -8.383203631
          0,           0,         106,      -13.67226658,      -11.45299795,       -11.2687939,      -11.52043383,      -8.219894728
          0,           0,         107,      -13.88508383,      -11.67204738,      -11.54991901,      -11.66102402,      -8.448653578
          0,           0,         108,      -13.89795336,         -11.63013,       -11.5257755,      -11.73409648,      -8.462742268
          0,           0,         109,      -13.86142198,      -11.62579789,       -11.3340239,      -11.66394969,      -8.416746597
          0,           0,         110,      -13.78912081,      -11.45228971,      -11.48920539,      -11.67202557,      -8.341476369
          0,           0,         111,      -13.83755359,      -11.56447992,      -11.44606289,      -11.55337091,      -8.394850457
          0,           0,         112,      -13.91384884,       -11.6941056,      -11.52488131,      -11.61631883,      -8.471767975
          0,           0,         113,      -13.83512517,      -11.68243611,      -11.45560395,      -11.75885105,       -8.40040236
          0,           0,         114,      -13.65829581,      -11.24868984,      -11.45611286,      -11.60484673,      -8.220139819
          0,           0,         115,      -13.77167091,      -11.57215379,      -11.49997885,      -11.61919601,      -8.322057172
          0,           0,         116,      -13.67970115,      -11.30215596,      -11.42852812,      -11.55336985,      -8.244510052
          0,           0,         117,      -13.74614891,      -11.56449909,      -11.49993875,      -11.55636229,      -8.323159428
          0,           0,         118,      -13.82948394,       -11.4659393,        -11.487775,      -11.57085215,      -8.390782934
          0,           0,         119,      -13.63374172,      -11.32778166,      -11.40305614,      -11.45190778,      -8.185806578
          0,           0,         120,      -13.75391672,      -11.46314287,      -11.36835405,      -11.50733161,      -8.300816038
          0,           0,         121,      -13.83768978,      -11.52213533,      -11.48436021,      -11.51248796,      -8.387895831
          0,           0,         122,      -13.69621754,      -11.50861155,      -11.27186887,      -11.46758343,      -8.239514274
          0,           0,         123,      -13.75318885,      -11.45130826,      -11.41312323,       -11.6203906,      -8.302115551
          0,           0,         124,        -13.791367,      -11.60914183,      -11.44104153,       -11.5687372,       -8.34173702
          0,           0,         125,      -13.66467318,      -11.30331618,      -11.44219765,      -11.62141366,      -8.216928134
          0,           0,         126,      -13.68380438,      -11.40818988,      -11.30475974,      -11.51304992,      -8.239836373
          0,           0,         127,      -13.76676557,      -11.48383732,      -11.38630675,      -11.50140621,      -8.327628251
          0,           0,         128,      -13.72583257,      -11.49087272,      -11.44643888,      -11.52833447,      -8.272632873
          0,           0,         129,      -13.86131757,      -11.46222373,      -11.50672695,      -11.61649511,      -8.415761293
          0,           0,         130,      -13.73180779,      -11.49071411,      -11.35124771,         -11.55354,      -8.272568142
          0,           0,         131,      -13.74695325,      -11.45317247,      -11.54476797,      -11.64485886,      -8.300681035
          0,           0,         132,      -13.75314135,      -11.49309386,      -11.42374128,      -11.63363333,      -8.318968332
          0,           0,         133,      -13.87718153,      -11.62305126,      -11.38397742,      -11.59074922,       -8.44600235
          0,           0,         134,      -13.79084073,      -11.49331782,      -11.32332375,      -11.50028366,      -8.349674623
          0,           0,         135,        -13.871111,      -11.62985888,      -11.59391396,      -11.54310376,      -8.444750354
          0,           0,         136,      -13.70124576,      -11.47541294,       -11.2171284,      -11.47054395,      -8.252893271
          0,           0,         137,      -13.75446194,      -11.53390834,      -11.32244149,      -11.49497282,        -8.3032651
          0,           0,         138,      -13.86017701,       -11.6657485,      -11.39112598,      -11.63508883,       -8.42289894
          0,           0,         139,      -13.67710942,      -11.43018879,      -11.19376974,      -11.39993152,      -8.232567874
          0,           0,         140,      -13.79160218,      -11.53646179,      -11.43433901,       -11.5895432,      -8.356680949
          0,           0,         141,      -13.76272061,       -11.5229869,      -11.35562308,      -11.51877001,      -8.321645769
          0,           0,         142,      -13.71922466,      -11.46145521,      -11.33461027,       -11.6114216,      -8.260131253
          0,           0,         143,      -13.71501074,       -11.5367755,       -11.3272448,      -11.59000019,      -8.263041433
          0,           0,         144,      -13.81027675,       -11.5772372,      -11.36096446,      -11.57663899,      -8.367448708
          0,           0,         145,      -13.72879868,      -11.57601492,       -11.3474826,      -11.50444341,      -8.283819789
          0,           0,         146,      -13.78135243,      -11.47897293,      -11.46051757,       -11.5286512,       -8.33891181
          0,           0,         147,      -13.84725156,      -11.56390555,       -11.6026313,      -11.53084699,      -8.400435114
          0,           0,         148,      -13.84560631,      -11.58520218,      -11.51374206,      -11.58235649,      -8.391036595
          0,           0,         149,      -13.82064603,      -11.66198261,        -11.308359,      -11.55236388,       -8.36905134
          0,           0,         150,      -13.86728339,      -11.64896596,       -11.5452245,      -11.71208882,      -8.412614291
          0,           0,         151,      -13.83608232,      -11.58453913,      -11.38809563,      -11.64056084,      -8.393561934
          0,           0,         152,      -13.86425783,      -11.66010784,      -11.56937945,      -11.69530712,      -8.426615898
          0,           0,         153,      -13.72875163,      -11.60007834,      -11.29897006,      -11.59542094,      -8.290935813
          0,           0,         154,        -13.805463,      -11.64335935,      -11.40135888,       -11.4944649,      -8.385453367
          0,           0,         155,      -13.77129085,      -11.45379589,      -11.50362466,      -11.46991724,      -8.343547005
          0,           0,         156,      -13.76290576,      -11.38036221,      -11.63016017,      -11.61371679,      -8.310660739
          0,           0,         157,      -13.68718222,      -11.46124443,      -11.23248867,      -11.50870743,      -8.240952548
          0,           0,         158,      -13.64640583,      -11.50343789,      -11.25122933,      -11.54394844,       -8.18600952
          0,           0,         159,      -13.80369982,      -11.58558222,       -11.4435419,      -11.61563043,       -8.35842357
          0,           0,         160,      -13.82870852,      -11.44132435,      -11.48823333,      -11.68865378,      -8.403708029
          0,           0,         161,      -13.84131321,      -11.59219013,       -11.4442378,      -11.68506009,       -8.39143943
          0,           0,         162,      -13.74736839,      -11.44333346,      -11.42631255,      -11.66556684,      -8.313791919
          0,           0,         163,      -13.89232055,      -11.54641511,      -11.62233494,      -11.55644785,      -8.450263101
          0,           0,         164,      -13.74432527,      -11.44188045,      -11.33890431,      -11.63968398,      -8.286746353
          0,           0,         165,      -13.79350142,      -11.63200587,      -11.42488994,      -11.68356595,      -8.353886244
          0,           0,         166,      -13.74205368,      -11.57077024,      -11.32153475,      -11.51146481,      -8.304751031
          0,           0,         167,      -13.75791646,      -11.51491112,      -11.31267548,      -11.45050021,      -8.312235204
          0,           0,         168,      -13.82195833,      -11.52732075,      -11.52098749,      -11.65947991,      -8.369531832
          0,           0,         169,      -13.91214387,       -11.5559496,      -11.58949278,      -11.72693245,      -8.481989531
          0,           0,         170,      -13.89742624,      -11.67345164,      -11.42936057,       -11.6354342,      -8.456454589
          0,           0,         171,      -13.75539136,      -11.32519456,      -11.54732676,      -11.59983485,      -8.310638648
          0,           0,         172,      -13.86143462,      -11.61155915,      -11.38432058,      -11.66080766,      -8.409545801
          0,           0,         173,      -13.76653743,      -11.43795646,      -11.44571144,       -11.6330885,      -8.316258679
          0,           0,         174,      -13.64696745,      -11.40423975,      -11.21703806,      -11.49422406,      -8.187465506
          0,           0,         175,      -13.68664331,      -11.35170799,      -11.44738424,      -11.63603273,      -8.226901314
          0,           0,         176,      -13.71163501,      -11.41866523,       -11.3476732,      -11.55427371,      -8.257644479
          0,           0,         177,      -13.87193524,      -11.66281309,      -11.52535934,      -11.71467785,      -8.439086412
          0,           0,         178,       -13.7817796,      -11.55581243,      -11.36665625,      -11.58056304,      -8.339172592
          0,           0,         179,      -13.89749345,        -11.624414,      -11.55547391,      -11.66451337,      -8.451980602
          0,           0,         180,      -13.79361581,      -11.37970893,      -11.49194885,      -11.68655457,      -8.338696961
          0,           0,         181,      -13.85820857,       -11.6128034,      -11.68177492,      -11.69155608,      -8.441512261
          0,           0,         182,       -13.8583851,      -11.64560463,      -11.47988833,      -11.64567945,      -8.417618457
          0,           0,         183,      -13.78326643,      -11.61081514,      -11.38652696,      -11.49580586,      -8.337494993
          0,           0,         184,      -13.83602118,       -11.4723205,      -11.54857009,      -11.66428325,      -8.385279706
          0,           0,         185,      -13.87078969,      -11.68063396,      -11.47553696,      -11.62878875,      -8.422745787
          0,           0,         186,      -13.77663693,       -11.5622795,      -11.40505604,      -11.52853168,      -8.322805228
          0,           0,         187,      -13.70280262,      -11.42267388,      -11.36841427,      -11.52215599,      -8.249822101
          0,           0,         188,      -13.68399569,      -11.47364749,      -11.16866593,      -11.48276613,      -8.230646021
